title,code,median annual wage 2012,Less than high school diploma,High school diploma or equivalent,"Some college, no degree",Associate's degree,Bachelor's degree,Master's degree,Doctoral or professional degree
"Entertainers and performers, sports and related workers, all other",27-2099,,3.9,22.2,26.4,7.1,31.7,7.2,1.4
Radio and television announcers,27-3011,"$28,020",3.2,19.2,31.3,7.2,33.2,4.8,1.1
Public address system and other announcers,27-3012,"$26,230",3.2,19.2,31.3,7.2,33.2,4.8,1.1
Broadcast news analysts,27-3021,"$55,380",0.2,2.2,9.8,3.5,62.8,19.0,2.4
Reporters and correspondents,27-3022,"$35,870",0.2,2.2,9.8,3.5,62.8,19.0,2.4
Public relations specialists,27-3031,"$54,170",0.5,4.6,10.9,4.2,55.1,20.1,4.7
Editors,27-3041,"$53,880",0.5,2.6,9.1,3.9,57.5,20.5,5.8
Technical writers,27-3042,"$65,500",0.4,6.2,12.3,7.3,47.6,20.2,6.1
Writers and authors,27-3043,"$55,940",0.5,2.8,8.5,2.8,51.1,26.8,7.4
Interpreters and translators,27-3091,"$45,430",2.1,11.0,23.5,13.2,30.8,15.0,4.3
"Media and communication workers, all other",27-3099,"$45,160",2.1,11.0,23.5,13.2,30.8,15.0,4.3
Audio and video equipment technicians,27-4011,"$41,850",2.5,17.2,29.9,13.5,32.1,4.4,0.4
Broadcast technicians,27-4012,"$37,880",2.5,17.2,29.9,13.5,32.1,4.4,0.4
Radio operators,27-4013,"$42,080",2.5,17.2,29.9,13.5,32.1,4.4,0.4
Sound engineering technicians,27-4014,"$46,310",2.5,17.2,29.9,13.5,32.1,4.4,0.4
Photographers,27-4021,"$28,490",1.8,13.3,26.6,10.7,40.9,5.8,0.8
"Camera operators, television, video, and motion picture",27-4031,"$40,300",2.4,9.8,19.5,6.9,52.2,7.9,1.3
Film and video editors,27-4032,"$51,300",2.4,9.8,19.5,6.9,52.2,7.9,1.3
"Media and communication equipment workers, all other",27-4099,"$68,810",2.5,17.2,29.9,13.5,32.1,4.4,0.4
Chiropractors,29-1011,"$66,160",0.0,0.5,0.7,0.8,3.1,2.3,92.6
"Dentists, general",29-1021,"$145,240",0.0,0.1,0.3,0.1,1.4,2.4,95.6
Oral and maxillofacial surgeons,29-1022,">=$187,200",0.0,0.1,0.3,0.1,1.4,2.4,95.6
Orthodontists,29-1023,">=$187,200",0.0,0.1,0.3,0.1,1.4,2.4,95.6
Prosthodontists,29-1024,"$169,130",0.0,0.1,0.3,0.1,1.4,2.4,95.6
"Dentists, all other specialists",29-1029,"$154,990",0.0,0.1,0.3,0.1,1.4,2.4,95.6
Dietitians and nutritionists,29-1031,"$55,240",3.0,11.2,7.0,3.8,40.1,27.6,7.3
Optometrists,29-1041,"$97,820",0.0,0.1,0.1,0.5,2.0,1.3,96.1
Pharmacists,29-1051,"$116,670",0.1,0.2,0.9,0.7,41.7,5.6,50.8
Anesthesiologists,29-1061,">=$187,200",0.1,0.2,0.2,0.3,1.7,2.9,94.6
Family and general practitioners,29-1062,"$172,020",0.1,0.2,0.2,0.3,1.7,2.9,94.6
"Internists, general",29-1063,">=$187,200",0.1,0.2,0.2,0.3,1.7,2.9,94.6
Obstetricians and gynecologists,29-1064,">=$187,200",0.1,0.2,0.2,0.3,1.7,2.9,94.6
"Pediatricians, general",29-1065,"$154,650",0.1,0.2,0.2,0.3,1.7,2.9,94.6
Psychiatrists,29-1066,"$173,330",0.1,0.2,0.2,0.3,1.7,2.9,94.6
Surgeons,29-1067,">=$187,200",0.1,0.2,0.2,0.3,1.7,2.9,94.6
"Physicians and surgeons, all other",29-1069,">=$187,200",0.1,0.2,0.2,0.3,1.7,2.9,94.6
Physician assistants,29-1071,"$90,930",1.0,3.2,9.7,11.8,27.1,33.4,13.8
Podiatrists,29-1081,"$116,440",0.0,0.0,0.0,0.0,0.6,2.0,97.3
Occupational therapists,29-1122,"$75,400",0.0,0.4,0.7,8.5,49.1,36.2,5.1
Physical therapists,29-1123,"$79,860",0.4,0.9,1.5,6.1,38.2,29.9,23.1
Radiation therapists,29-1124,"$77,560",0.0,3.1,10.1,43.0,37.0,3.7,3.1
Recreational therapists,29-1125,"$42,280",2.9,9.1,10.6,7.1,55.0,14.9,0.5
Respiratory therapists,29-1126,"$55,870",0.2,1.7,14.0,55.2,24.9,2.6,1.4
Speech-language pathologists,29-1127,"$69,870",0.1,0.3,0.3,0.2,9.5,86.5,3.2
Exercise physiologists,29-1128,"$44,770",0.5,2.4,5.1,7.0,25.9,52.4,6.7
"Therapists, all other",29-1129,"$53,210",0.5,2.4,5.1,7.0,25.9,52.4,6.7
Veterinarians,29-1131,"$84,460",0.5,0.8,0.0,0.3,1.6,1.9,95.0
Registered nurses,29-1141,"$65,470",0.2,1.0,5.2,38.1,46.0,7.7,1.8
Nurse anesthetists,29-1151,"$148,160",0.3,0.5,4.5,4.1,14.9,64.2,11.5
Nurse midwives,29-1161,"$89,600",0.3,0.3,0.6,2.0,6.4,77.8,12.7
Nurse practitioners,29-1171,"$89,960",0.3,0.3,0.6,2.0,6.4,77.8,12.7
Audiologists,29-1181,"$69,720",0.0,2.0,0.0,0.4,7.7,35.1,54.8
"Health diagnosing and treating practitioners, all other",29-1199,"$72,710",0.8,2.7,6.6,2.7,12.9,45.5,28.7
Medical and clinical laboratory technologists,29-2011,"$57,580",1.0,10.9,18.6,17.1,44.1,5.5,2.7
Medical and clinical laboratory technicians,29-2012,"$37,240",1.0,10.9,18.6,17.1,44.1,5.5,2.7
Dental hygienists,29-2021,"$70,210",0.1,2.9,6.3,54.8,32.4,1.8,1.8
Cardiovascular technologists and technicians,29-2031,"$52,070",0.7,8.6,21.9,45.5,19.7,2.4,1.3
Diagnostic medical sonographers,29-2032,"$65,860",0.7,8.6,21.9,45.5,19.7,2.4,1.3
Nuclear medicine technologists,29-2033,"$70,180",0.7,8.6,21.9,45.5,19.7,2.4,1.3
Radiologic technologists ,29-2034,"$54,620",0.7,8.6,21.9,45.5,19.7,2.4,1.3
Magnetic resonance imaging technologists,29-2035,"$65,360",0.7,8.6,21.9,45.5,19.7,2.4,1.3
Emergency medical technicians and paramedics,29-2041,"$31,020",0.9,14.7,49.4,19.7,12.9,2.1,0.3
Dietetic technicians,29-2051,"$26,260",2.0,25.3,34.4,20.0,15.9,1.6,0.8
Pharmacy technicians,29-2052,"$29,320",2.0,25.3,34.4,20.0,15.9,1.6,0.8
Psychiatric technicians,29-2053,"$30,050",2.0,25.3,34.4,20.0,15.9,1.6,0.8
Respiratory therapy technicians,29-2054,"$46,760",2.0,25.3,34.4,20.0,15.9,1.6,0.8
Surgical technologists,29-2055,"$41,790",2.0,25.3,34.4,20.0,15.9,1.6,0.8
Veterinary technologists and technicians,29-2056,"$30,290",2.0,25.3,34.4,20.0,15.9,1.6,0.8
Ophthalmic medical technicians,29-2057,"$34,240",2.0,25.3,34.4,20.0,15.9,1.6,0.8
Licensed practical and licensed vocational nurses,29-2061,"$41,540",1.0,18.7,58.2,17.4,3.7,0.7,0.3
Medical records and health information technicians,29-2071,"$34,160",2.1,27.4,36.0,15.5,15.8,2.6,0.8
"Opticians, dispensing",29-2081,"$33,330",2.9,27.2,33.4,19.3,13.9,1.8,1.5
Orthotists and prosthetists,29-2091,"$62,670",1.9,20.1,33.7,13.3,19.9,5.9,5.1
Hearing aid specialists,29-2092,"$41,430",1.9,20.1,33.7,13.3,19.9,5.9,5.1
"Health technologists and technicians, all other",29-2099,"$40,700",1.9,20.1,33.7,13.3,19.9,5.9,5.1
Occupational health and safety specialists,29-9011,"$66,790",1.5,11.5,18.6,8.7,36.5,20.2,2.9
Occupational health and safety technicians,29-9012,"$47,440",1.5,11.5,18.6,8.7,36.5,20.2,2.9
Athletic trainers,29-9091,"$42,090",1.5,11.5,18.6,8.7,36.5,20.2,2.9
Genetic counselors,29-9092,"$56,800",1.5,11.5,18.6,8.7,36.5,20.2,2.9
"Healthcare practitioners and technical workers, all other",29-9099,"$46,180",1.5,11.5,18.6,8.7,36.5,20.2,2.9
Home health aides,31-1011,"$20,820",13.8,37.0,31.7,8.2,7.0,1.4,0.9
Psychiatric aides,31-1013,"$24,580",13.8,37.0,31.7,8.2,7.0,1.4,0.9
Nursing assistants,31-1014,"$24,420",13.8,37.0,31.7,8.2,7.0,1.4,0.9
Orderlies,31-1015,"$23,990",13.8,37.0,31.7,8.2,7.0,1.4,0.9
Occupational therapy assistants,31-2011,"$53,240",0.2,4.8,9.1,70.4,9.9,5.0,0.5
Occupational therapy aides,31-2012,"$26,850",0.2,4.8,9.1,70.4,9.9,5.0,0.5
Physical therapist assistants,31-2021,"$52,160",1.7,11.4,15.3,51.1,17.1,2.0,1.5
Physical therapist aides,31-2022,"$23,880",1.7,11.4,15.3,51.1,17.1,2.0,1.5
Massage therapists,31-9011,"$35,970",1.8,18.6,37.7,15.8,20.3,3.7,2.2
Dental assistants,31-9091,"$34,500",3.0,30.1,41.6,16.1,6.6,0.4,2.1
Medical assistants,31-9092,"$29,370",2.4,23.3,42.9,22.0,7.2,1.4,0.8
Medical equipment preparers,31-9093,"$30,820",11.0,37.5,28.3,10.6,9.5,2.6,0.6
Medical transcriptionists,31-9094,"$34,020",0.3,20.2,39.8,23.6,13.2,2.7,0.2
Pharmacy aides,31-9095,"$21,860",2.8,29.1,32.5,9.8,21.7,1.7,2.4
Veterinary assistants and laboratory animal caretakers,31-9096,"$23,130",5.6,32.6,27.4,15.8,16.5,1.6,0.5
Phlebotomists,31-9097,"$29,730",1.1,26.1,49.5,13.5,8.3,0.9,0.6
"Healthcare support workers, all other",31-9099,"$32,800",11.0,37.5,28.3,10.6,9.5,2.6,0.6
First-line supervisors of correctional officers,33-1011,"$57,840",0.9,24.5,32.4,13.1,21.5,6.5,1.1
First-line supervisors of police and detectives,33-1012,"$78,270",0.3,11.4,32.2,15.0,29.8,9.8,1.4
First-line supervisors of fire fighting and prevention workers,33-1021,"$68,210",0.4,12.7,39.8,23.6,18.7,4.1,0.6
"First-line supervisors of protective service workers, all other",33-1099,"$45,820",3.1,21.6,33.9,12.3,20.8,6.7,1.6
Firefighters,33-2011,"$45,250",0.6,16.4,42.1,20.2,18.8,1.7,0.2
Fire inspectors and investigators,33-2021,"$53,990",0.7,17.1,35.0,18.3,22.7,5.2,0.9
Forest fire inspectors and prevention specialists,33-2022,"$35,780",0.7,17.1,35.0,18.3,22.7,5.2,0.9
Bailiffs,33-3011,"$36,840",1.0,31.9,39.8,12.9,12.7,1.3,0.3
Correctional officers and jailers,33-3012,"$39,040",1.0,31.9,39.8,12.9,12.7,1.3,0.3
Detectives and criminal investigators,33-3021,"$74,300",0.6,8.1,24.3,13.3,40.9,10.8,2.2
Fish and game wardens,33-3031,"$48,070",2.8,26.5,26.2,15.2,25.5,2.9,0.9
Parking enforcement workers,33-3041,"$35,690",2.8,26.5,26.2,15.2,25.5,2.9,0.9
Police and sheriff's patrol officers,33-3051,"$55,270",0.4,13.5,35.4,17.1,28.7,4.2,0.6
Transit and railroad police,33-3052,"$55,210",0.4,13.5,35.4,17.1,28.7,4.2,0.6
Animal control workers,33-9011,"$31,680",2.5,37.2,34.2,8.5,14.2,2.5,1.0
Private detectives and investigators,33-9021,"$45,740",0.8,10.9,26.6,11.9,37.1,10.0,2.6
Gaming surveillance officers and gaming investigators,33-9031,"$29,610",7.8,34.6,31.6,10.3,12.9,2.4,0.4
Security guards,33-9032,"$23,970",7.8,34.6,31.6,10.3,12.9,2.4,0.4
Crossing guards,33-9091,"$23,910",21.6,43.6,24.6,4.6,4.8,0.8,0.1
"Lifeguards, ski patrol, and other recreational protective service workers",33-9092,"$18,950",8.8,32.5,23.1,8.9,19.6,6.3,0.8
Transportation security screeners,33-9093,"$36,850",2.4,26.3,36.0,14.7,17.7,2.7,0.2
"Protective service workers, all other",33-9099,"$30,460",8.8,32.5,23.1,8.9,19.6,6.3,0.8
Chefs and head cooks,35-1011,"$42,480",19.4,28.7,21.7,16.2,12.4,1.1,0.5
First-line supervisors of food preparation and serving workers,35-1012,"$29,270",12.5,37.3,28.3,7.9,11.9,1.8,0.4
"Cooks, fast food",35-2011,"$18,410",32.1,40.8,17.1,4.9,4.3,0.6,0.2
"Cooks, institution and cafeteria",35-2012,"$22,860",32.1,40.8,17.1,4.9,4.3,0.6,0.2
"Cooks, private household",35-2013,"$23,470",32.1,40.8,17.1,4.9,4.3,0.6,0.2
"Cooks, restaurant",35-2014,"$22,030",32.1,40.8,17.1,4.9,4.3,0.6,0.2
"Cooks, short order",35-2015,"$19,730",32.1,40.8,17.1,4.9,4.3,0.6,0.2
"Cooks, all other",35-2019,"$23,250",32.1,40.8,17.1,4.9,4.3,0.6,0.2
Food preparation workers,35-2021,"$19,300",30.8,38.4,18.1,4.8,6.9,0.9,0.2
Bartenders,35-3011,"$18,900",8.5,28.0,34.3,8.8,18.3,1.7,0.4
"Combined food preparation and serving workers, including fast food",35-3021,"$18,260",22.0,45.1,21.8,5.1,5.2,0.7,0.1
"Counter attendants, cafeteria, food concession, and coffee shop",35-3022,"$18,560",20.4,42.9,23.0,6.0,6.6,0.8,0.3
Waiters and waitresses,35-3031,"$18,540",14.5,33.4,29.2,7.8,13.0,1.7,0.3
"Food servers, nonrestaurant",35-3041,"$19,640",20.9,41.7,23.3,5.7,7.7,0.4,0.2
Dining room and cafeteria attendants and bartender helpers,35-9011,"$18,500",31.6,40.9,17.4,4.7,4.4,0.8,0.2
Dishwashers,35-9021,"$18,460",45.5,37.7,11.1,2.4,2.7,0.5,0.2
"Hosts and hostesses, restaurant, lounge, and coffee shop",35-9031,"$18,580",14.9,32.5,26.2,8.0,16.2,2.0,0.2
"Food preparation and serving related workers, all other",35-9099,"$20,300",31.6,40.9,17.4,4.7,4.4,0.8,0.2
First-line supervisors of housekeeping and janitorial workers,37-1011,"$35,310",15.8,41.2,25.7,6.7,8.7,1.6,0.3
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",37-1012,"$42,160",19.6,29.5,23.4,8.3,16.9,2.1,0.2
"Janitors and cleaners, except maids and housekeeping cleaners",37-2011,"$22,320",27.3,44.4,18.6,4.8,4.1,0.6,0.2
Maids and housekeeping cleaners,37-2012,"$19,570",39.6,39.4,13.4,3.0,3.9,0.4,0.2
"Building cleaning workers, all other",37-2019,"$27,570",27.3,44.4,18.6,4.8,4.1,0.6,0.2
Pest control workers,37-2021,"$30,060",9.2,40.7,31.7,8.8,7.9,1.4,0.3
Landscaping and groundskeeping workers,37-3011,"$23,570",40.0,34.6,14.6,4.3,5.5,0.8,0.2
"Pesticide handlers, sprayers, and applicators, vegetation",37-3012,"$30,270",40.0,34.6,14.6,4.3,5.5,0.8,0.2
Tree trimmers and pruners,37-3013,"$32,310",40.0,34.6,14.6,4.3,5.5,0.8,0.2
"Grounds maintenance workers, all other",37-3019,"$26,760",40.0,34.6,14.6,4.3,5.5,0.8,0.2
Gaming supervisors,39-1011,"$49,290",4.3,23.3,30.5,10.0,26.1,5.7,0.1
Slot supervisors,39-1012,"$32,390",4.3,23.3,30.5,10.0,26.1,5.7,0.1
First-line supervisors of personal service workers,39-1021,"$35,150",4.9,30.2,28.8,10.2,21.1,3.8,1.0
Animal trainers,39-2011,"$25,270",9.1,31.2,24.4,7.7,22.4,3.7,1.5
Nonfarm animal caretakers,39-2021,"$19,690",9.8,37.0,28.0,8.0,14.5,1.7,1.0
Gaming dealers,39-3011,"$18,630",7.9,33.5,34.3,8.9,13.5,1.6,0.3
Gaming and sports book writers and runners,39-3012,"$21,810",7.9,33.5,34.3,8.9,13.5,1.6,0.3
"Gaming service workers, all other",39-3019,"$23,490",7.9,33.5,34.3,8.9,13.5,1.6,0.3
Motion picture projectionists,39-3021,"$19,830",4.0,25.0,24.9,22.0,21.2,2.8,0.0
"Ushers, lobby attendants, and ticket takers",39-3031,"$18,730",10.2,33.0,26.1,7.9,18.1,4.3,0.5
Amusement and recreation attendants,39-3091,"$18,710",8.4,30.0,28.4,9.0,19.0,4.1,0.9
Costume attendants,39-3092,"$36,760",8.4,30.0,28.4,9.0,19.0,4.1,0.9
"Locker room, coatroom, and dressing room attendants",39-3093,"$19,160",8.4,30.0,28.4,9.0,19.0,4.1,0.9
"Entertainment attendants and related workers, all other",39-3099,"$25,140",8.4,30.0,28.4,9.0,19.0,4.1,0.9
Embalmers,39-4011,"$42,240",8.8,29.6,24.5,21.8,11.8,3.3,0.1
Funeral attendants,39-4021,"$22,610",8.8,29.6,24.5,21.8,11.8,3.3,0.1
"Morticians, undertakers, and funeral directors",39-4031,"$46,840",1.5,8.2,20.4,33.5,27.9,4.1,4.3
Barbers,39-5011,"$25,090",15.2,47.0,28.3,5.6,3.0,0.6,0.3
"Hairdressers, hairstylists, and cosmetologists",39-5012,"$22,700",7.2,45.9,32.7,9.2,4.3,0.5,0.3
"Makeup artists, theatrical and performance",39-5091,"$64,450",23.0,37.1,22.7,7.5,8.4,1.0,0.3
Manicurists and pedicurists,39-5092,"$19,220",23.0,37.1,22.7,7.5,8.4,1.0,0.3
Shampooers,39-5093,"$18,310",23.0,37.1,22.7,7.5,8.4,1.0,0.3
Skincare specialists,39-5094,"$28,640",23.0,37.1,22.7,7.5,8.4,1.0,0.3
Baggage porters and bellhops,39-6011,"$20,050",13.0,31.6,30.7,8.3,14.3,1.6,0.5
Concierges,39-6012,"$27,250",13.0,31.6,30.7,8.3,14.3,1.6,0.5
Tour guides and escorts,39-7011,"$23,940",6.0,18.9,21.5,8.3,33.7,9.3,2.2
Travel guides,39-7012,"$30,780",6.0,18.9,21.5,8.3,33.7,9.3,2.2
Childcare workers,39-9011,"$19,510",14.2,33.0,27.4,9.8,12.9,2.3,0.3
Personal care aides,39-9021,"$19,910",18.9,34.7,26.7,7.9,9.5,1.7,0.5
Fitness trainers and aerobics instructors,39-9031,"$31,720",2.3,17.8,25.2,9.6,35.0,8.6,1.5
Recreation workers,39-9032,"$22,240",2.3,17.8,25.2,9.6,35.0,8.6,1.5
Residential advisors,39-9041,"$24,520",5.3,24.2,32.1,10.5,18.7,8.5,0.6
"Personal care and service workers, all other",39-9099,"$20,600",10.8,30.7,29.2,7.8,17.6,2.9,0.9
First-line supervisors of retail sales workers,41-1011,"$36,820",6.1,30.4,29.2,9.0,21.2,3.4,0.7
First-line supervisors of non-retail sales workers,41-1012,"$70,060",5.3,22.2,24.8,8.2,30.1,8.0,1.4
Cashiers,41-2011,"$18,970",15.8,40.6,25.6,6.7,9.5,1.5,0.3
Gaming change persons and booth cashiers,41-2012,"$24,690",15.8,40.6,25.6,6.7,9.5,1.5,0.3
Counter and rental clerks,41-2021,"$23,130",12.7,36.4,26.0,7.5,14.9,2.1,0.5
Parts salespersons,41-2022,"$29,550",7.2,49.6,26.5,8.6,7.4,0.7,0.1
Retail salespersons,41-2031,"$21,110",6.6,30.1,28.7,8.9,21.4,3.7,0.6
Advertising sales agents,41-3011,"$46,290",1.8,14.0,22.2,7.8,46.9,6.6,0.8
Insurance sales agents,41-3021,"$48,150",1.2,15.4,26.7,9.2,39.0,6.4,2.1
"Securities, commodities, and financial services sales agents",41-3031,"$71,720",1.0,7.5,15.6,6.0,51.2,16.1,2.7
Travel agents,41-3041,"$34,600",1.9,19.1,30.8,13.0,28.4,6.0,0.7
"Sales representatives, services, all other",41-3099,"$50,850",2.3,16.4,26.4,8.6,38.7,6.7,0.9
"Sales representatives, wholesale and manufacturing, technical and scientific products",41-4011,"$74,970",2.9,17.8,23.7,8.3,39.8,6.7,0.8
"Sales representatives, wholesale and manufacturing, except technical and scientific products",41-4012,"$54,230",2.9,17.8,23.7,8.3,39.8,6.7,0.8
Demonstrators and product promoters,41-9011,"$23,860",10.5,34.3,28.5,7.9,14.5,3.6,0.8
Models,41-9012,"$18,750",10.5,34.3,28.5,7.9,14.5,3.6,0.8
Real estate brokers,41-9021,"$58,350",1.2,13.6,28.2,9.4,37.2,8.7,1.8
Real estate sales agents,41-9022,"$39,140",1.2,13.6,28.2,9.4,37.2,8.7,1.8
Sales engineers,41-9031,"$91,830",0.2,3.5,15.6,12.2,53.3,14.4,0.9
Telemarketers,41-9041,"$22,330",6.8,31.1,34.4,9.6,14.7,2.7,0.7
"Door-to-door sales workers, news and street vendors, and related workers",41-9091,"$21,470",15.8,31.6,26.3,7.4,14.6,3.1,1.1
"Sales and related workers, all other",41-9099,"$25,800",6.5,22.0,23.1,6.9,33.1,6.8,1.5
First-line supervisors of office and administrative support workers,43-1011,"$49,330",2.8,23.6,30.3,11.2,24.4,6.4,1.3
"Switchboard operators, including answering service",43-2011,"$25,370",5.0,41.5,34.3,6.9,10.1,1.7,0.4
Telephone operators,43-2021,"$32,850",4.5,34.9,37.8,10.2,11.2,1.1,0.5
"Communications equipment operators, all other",43-2099,"$40,250",1.9,17.9,27.3,13.6,32.3,6.3,0.6
Bill and account collectors,43-3011,"$32,480",4.0,30.3,36.4,11.3,15.0,2.4,0.6
Billing and posting clerks,43-3021,"$33,450",2.8,31.7,35.5,12.6,14.4,2.5,0.4
"Bookkeeping, accounting, and auditing clerks",43-3031,"$35,170",2.6,30.5,39.3,10.1,14.6,2.5,0.3
Gaming cage workers,43-3041,"$24,610",9.1,41.7,31.3,6.9,10.2,0.8,0.0
Payroll and timekeeping clerks,43-3051,"$37,690",1.4,27.9,38.5,13.2,17.1,1.7,0.2
Procurement clerks,43-3061,"$38,220",1.8,23.0,35.4,10.6,22.5,6.3,0.4
Tellers,43-3071,"$24,940",1.7,37.7,32.4,10.8,15.9,1.4,0.2
"Financial clerks, all other",43-3099,"$36,850",1.6,24.9,26.9,9.0,26.9,9.9,0.8
Brokerage clerks,43-4011,"$42,440",0.8,17.0,32.6,8.2,39.0,2.3,0.0
Correspondence clerks,43-4021,"$36,140",9.0,36.5,27.8,9.2,15.0,2.2,0.3
"Court, municipal, and license clerks",43-4031,"$34,830",1.8,29.9,33.4,16.1,15.5,2.0,1.3
"Credit authorizers, checkers, and clerks",43-4041,"$33,600",2.5,34.7,31.0,8.4,17.8,5.0,0.6
Customer service representatives,43-4051,"$30,580",4.1,27.4,33.5,10.9,20.6,3.1,0.4
"Eligibility interviewers, government programs",43-4061,"$40,530",1.4,13.1,30.0,14.1,33.7,6.5,1.2
File clerks,43-4071,"$26,190",3.9,29.5,32.1,12.4,17.7,3.9,0.5
"Hotel, motel, and resort desk clerks",43-4081,"$20,340",8.3,32.1,33.7,8.1,15.3,2.4,0.2
"Interviewers, except eligibility and loan",43-4111,"$29,910",1.9,22.5,35.8,13.2,19.8,5.3,1.4
"Library assistants, clerical",43-4121,"$23,440",1.4,18.9,25.5,10.5,34.4,8.3,1.0
Loan interviewers and clerks,43-4131,"$35,310",2.1,28.0,36.9,11.2,19.8,1.8,0.2
New accounts clerks,43-4141,"$31,720",1.7,31.9,34.0,9.7,19.3,3.1,0.2
Order clerks,43-4151,"$29,480",9.0,36.5,27.8,9.2,15.0,2.2,0.3
"Human resources assistants, except payroll and timekeeping",43-4161,"$37,510",2.6,19.9,34.3,14.0,22.3,6.5,0.5
Receptionists and information clerks,43-4171,"$25,990",3.9,36.0,34.2,11.0,12.6,2.0,0.4
Reservation and transportation ticket agents and travel clerks,43-4181,"$32,400",2.7,24.9,34.6,10.3,23.8,3.2,0.6
"Information and record clerks, all other",43-4199,"$37,240",2.1,21.6,35.9,17.2,19.2,3.6,0.5
Cargo and freight agents,43-5011,"$39,720",7.9,35.0,28.2,11.6,13.8,3.4,0.0
Couriers and messengers,43-5021,"$25,440",7.7,35.8,33.7,9.4,11.4,1.4,0.6
"Police, fire, and ambulance dispatchers",43-5031,"$36,300",4.2,35.2,35.7,11.3,11.8,1.5,0.2
"Dispatchers, except police, fire, and ambulance",43-5032,"$35,690",4.2,35.2,35.7,11.3,11.8,1.5,0.2
"Meter readers, utilities",43-5041,"$35,940",4.4,43.0,33.6,9.2,8.1,1.6,0.1
Postal service clerks,43-5051,"$53,090",2.4,33.4,37.8,9.7,14.8,1.8,0.2
Postal service mail carriers,43-5052,"$56,490",2.5,36.7,36.9,10.3,12.3,1.1,0.2
"Postal service mail sorters, processors, and processing machine operators",43-5053,"$53,090",3.1,34.2,38.2,9.0,13.5,1.7,0.4
"Production, planning, and expediting clerks",43-5061,"$43,740",2.6,26.1,30.0,12.2,23.5,5.2,0.5
"Shipping, receiving, and traffic clerks",43-5071,"$29,010",14.4,44.8,26.6,6.6,6.7,0.6,0.2
Stock clerks and order fillers,43-5081,"$22,050",15.1,43.2,25.8,6.6,8.1,1.0,0.2
"Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,"$27,920",13.0,38.7,28.9,7.1,10.2,1.3,0.8
Executive secretaries and executive administrative assistants,43-6011,"$47,500",2.2,29.9,35.0,13.8,16.2,2.6,0.4
Legal secretaries,43-6012,"$42,170",2.2,29.9,35.0,13.8,16.2,2.6,0.4
Medical secretaries,43-6013,"$31,350",2.2,29.9,35.0,13.8,16.2,2.6,0.4
"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,"$32,410",2.2,29.9,35.0,13.8,16.2,2.6,0.4
Computer operators,43-9011,"$38,390",2.9,24.6,30.9,14.5,22.8,3.7,0.6
Data entry keyers,43-9021,"$28,010",2.8,30.5,35.0,12.6,16.2,2.5,0.4
Word processors and typists,43-9022,"$35,270",2.2,30.4,34.9,13.9,15.3,2.9,0.5
Desktop publishers,43-9031,"$37,040",2.4,22.7,31.9,11.3,24.3,6.5,0.8
Insurance claims and policy processing clerks,43-9041,"$35,700",1.7,28.0,34.9,11.9,19.5,3.1,0.9
"Mail clerks and mail machine operators, except postal service",43-9051,"$26,900",10.6,41.0,28.6,8.3,9.4,1.7,0.4
"Office clerks, general",43-9061,"$27,470",3.5,31.2,33.6,12.1,15.8,3.1,0.7
"Office machine operators, except computer",43-9071,"$27,950",7.1,38.2,30.2,10.8,11.6,1.9,0.1
Proofreaders and copy markers,43-9081,"$32,780",0.6,15.4,18.6,8.8,40.9,13.4,2.4
Statistical assistants,43-9111,"$39,840",1.5,19.6,34.5,11.7,25.8,6.0,1.0
"Office and administrative support workers, all other",43-9199,"$31,060",2.4,22.7,31.9,11.3,24.3,6.5,0.8
"First-line supervisors of farming, fishing, and forestry workers",45-1011,"$43,660",30.0,30.2,16.0,5.8,14.5,2.5,0.9
Agricultural inspectors,45-2011,"$42,160",10.6,20.4,22.3,10.7,29.8,2.7,3.4
Animal breeders,45-2021,"$34,250",57.4,25.3,9.1,3.4,4.1,0.6,0.2
"Graders and sorters, agricultural products",45-2041,"$19,150",59.0,25.3,9.3,2.0,3.7,0.4,0.2
Agricultural equipment operators,45-2091,"$25,860",57.4,25.3,9.1,3.4,4.1,0.6,0.2
"Farmworkers and laborers, crop, nursery, and greenhouse",45-2092,"$18,670",57.4,25.3,9.1,3.4,4.1,0.6,0.2
"Farmworkers, farm, ranch, and aquacultural animals",45-2093,"$22,060",57.4,25.3,9.1,3.4,4.1,0.6,0.2
"Agricultural workers, all other",45-2099,"$25,140",57.4,25.3,9.1,3.4,4.1,0.6,0.2
Fishers and related fishing workers,45-3011,"$33,430",25.6,40.8,16.5,6.5,9.0,1.4,0.2
Hunters and trappers,45-3021,,25.6,40.8,16.5,6.5,9.0,1.4,0.2
Forest and conservation workers,45-4011,"$24,340",24.7,30.8,17.3,10.2,12.6,3.2,1.3
Fallers,45-4021,"$35,250",35.2,46.5,11.3,3.8,2.8,0.3,0.1
Logging equipment operators,45-4022,"$33,380",35.2,46.5,11.3,3.8,2.8,0.3,0.1
Log graders and scalers,45-4023,"$32,880",35.2,46.5,11.3,3.8,2.8,0.3,0.1
"Logging workers, all other",45-4029,"$34,260",35.2,46.5,11.3,3.8,2.8,0.3,0.1
First-line supervisors of construction trades and extraction workers,47-1011,"$59,700",13.6,42.6,25.6,7.0,9.7,1.3,0.3
